"rules","support","confidence","lift","count"
"{PrimaryPropertyType=Non-Refrigerated Warehouse} => {BuildingType=NonResidential}",0.0570739549839228,0.979310344827586,2.47362856642745,142
"{PrimaryPropertyType=Large Office} => {BuildingType=NonResidential}",0.0606913183279743,0.986928104575163,2.49287017683554,151
"{NumberofFloors=6} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.0635048231511254,0.731481481481482,4.22256595342442,158
"{NumberofFloors=6} => {BuildingType=Multifamily MR (5-9)}",0.0643086816720257,0.740740740740741,4.1790543377845,160
"{NumberofFloors=6} => {StarScore=Good}",0.057475884244373,0.662037037037037,1.2898575944778,143
"{NumberofFloors=5} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.0610932475884244,0.669603524229075,3.86536790784672,152
"{NumberofFloors=5} => {BuildingType=Multifamily MR (5-9)}",0.0618971061093248,0.6784140969163,3.82742465561849,154
"{NumberofFloors=5} => {StarScore=Good}",0.0534565916398714,0.585903083700441,1.14152456714698,133
"{Neighborhood=GREATER DUWAMISH} => {NumberofFloors=1}",0.0582797427652733,0.604166666666667,5.16552119129439,145
"{Neighborhood=GREATER DUWAMISH} => {BuildingType=NonResidential}",0.0819935691318328,0.85,2.14700507614213,204
"{Neighborhood=GREATER DUWAMISH} => {StarScore=Bad}",0.0622990353697749,0.645833333333333,1.32686484998624,155
"{PrimaryPropertyType=Small- and Mid-Sized Office} => {BuildingType=NonResidential}",0.0948553054662379,0.983333333333333,2.48379018612521,236
"{NumberofFloors=2} => {BuildingType=NonResidential}",0.0795819935691318,0.707142857142857,1.78616388687455,198
"{NumberofFloors=2} => {StarScore=Bad}",0.0602893890675241,0.535714285714286,1.10062522118674,150
"{NumberofFloors=1} => {BuildingType=NonResidential}",0.103295819935691,0.883161512027491,2.23076735220751,257
"{NumberofFloors=1} => {StarScore=Bad}",0.0723472668810289,0.618556701030928,1.27082499765892,180
"{Neighborhood=MAGNOLIA / QUEEN ANNE} => {StarScore=Good}",0.0807877813504823,0.624223602484472,1.21618506106607,201
"{Neighborhood=EAST} => {StarScore=Good}",0.0727491961414791,0.504178272980501,0.982298780873522,181
"{Neighborhood=DOWNTOWN} => {BuildingType=NonResidential}",0.0980707395498392,0.617721518987342,1.560295572833,244
"{Neighborhood=DOWNTOWN} => {StarScore=Good}",0.079983922829582,0.50379746835443,0.981556852988115,199
"{PrimaryPropertyType=Mid-Rise Multifamily} => {BuildingType=Multifamily MR (5-9)}",0.173231511254019,1,5.64172335600907,431
"{BuildingType=Multifamily MR (5-9)} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.173231511254019,0.977324263038549,5.64172335600907,431
"{PrimaryPropertyType=Mid-Rise Multifamily} => {StarScore=Good}",0.114147909967846,0.658932714617169,1.28380939230033,284
"{BuildingType=Multifamily MR (5-9)} => {StarScore=Good}",0.116961414790997,0.659863945578231,1.28562372482274,291
"{NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.141479099678457,0.667931688804554,1.96664383638548,352
"{NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.144694533762058,0.683111954459203,1.96483530947341,360
"{NumberofFloors=3} => {StarScore=Good}",0.113344051446945,0.535104364326376,1.04255259079407,282
"{NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.181672025723473,0.797178130511464,2.34719430616867,452
"{PrimaryPropertyType=Low-Rise Multifamily} => {NumberofFloors=4}",0.181672025723473,0.53491124260355,2.34719430616867,452
"{NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.186093247588424,0.81657848324515,2.34872516336871,463
"{BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.186093247588424,0.535260115606936,2.34872516336871,463
"{NumberofFloors=4} => {StarScore=Good}",0.117363344051447,0.514991181657848,1.00336574781889,292
"{PrimaryPropertyType=Low-Rise Multifamily} => {BuildingType=Multifamily LR (1-4)}",0.339630225080386,1,2.87630057803468,845
"{BuildingType=Multifamily LR (1-4)} => {PrimaryPropertyType=Low-Rise Multifamily}",0.339630225080386,0.976878612716763,2.87630057803468,845
"{PrimaryPropertyType=Low-Rise Multifamily} => {StarScore=Good}",0.177652733118971,0.523076923076923,1.01911933016083,442
"{BuildingType=Multifamily LR (1-4)} => {StarScore=Good}",0.182475884244373,0.52485549132948,1.0225845437962,454
"{BuildingType=NonResidential} => {StarScore=Bad}",0.223472668810289,0.564467005076142,1.15969769498715,556
"{PrimaryPropertyType=Mid-Rise Multifamily,NumberofFloors=6} => {BuildingType=Multifamily MR (5-9)}",0.0635048231511254,1,5.64172335600907,158
"{BuildingType=Multifamily MR (5-9),NumberofFloors=6} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.0635048231511254,0.9875,5.70046403712297,158
"{PrimaryPropertyType=Mid-Rise Multifamily,NumberofFloors=5} => {BuildingType=Multifamily MR (5-9)}",0.0610932475884244,1,5.64172335600907,152
